sensor_id;sensor_type;location;lat;lon;timestamp;temperature;humidity
3660;DHT22;1846;51.482;7.224;2022-06-27T00:02:12;18.90;99.90
3660;DHT22;1846;51.482;7.224;2022-06-27T00:04:58;18.90;1.00
3660;DHT22;1846;51.482;7.224;2022-06-27T00:07:43;18.80;1.00
3660;DHT22;1846;51.482;7.224;2022-06-27T00:10:30;18.90;1.00
3660;DHT22;1846;51.482;7.224;2022-06-27T00:13:16;18.90;99.90
3660;DHT22;1846;51.482;7.224;2022-06-27T00:16:02;19.10;80.60
3660;DHT22;1846;51.482;7.224;2022-06-27T00:18:47;19.00;1.00
3660;DHT22;1846;51.482;7.224;2022-06-27T00:21:33;19.00;99.90
3660;DHT22;1846;51.482;7.224;2022-06-27T00:24:19;18.90;1.00
3660;DHT22;1846;51.482;7.224;2022-06-27T00:27:06;18.80;1.00
3660;DHT22;1846;51.482;7.224;2022-06-27T00:29:51;18.70;48.30
3660;DHT22;1846;51.482;7.224;2022-06-27T00:32:37;18.60;99.90
3660;DHT22;1846;51.482;7.224;2022-06-27T00:35:23;18.60;99.90
3660;DHT22;1846;51.482;7.224;2022-06-27T00:38:08;18.60;99.90
3660;DHT22;1846;51.482;7.224;2022-06-27T00:40:54;18.50;99.90
3660;DHT22;1846;51.482;7.224;2022-06-27T00:43:43;18.50;1.00
3660;DHT22;1846;51.482;7.224;2022-06-27T00:46:29;18.50;1.00
3660;DHT22;1846;51.482;7.224;2022-06-27T00:49:15;18.50;1.00
3660;DHT22;1846;51.482;7.224;2022-06-27T00:52:03;18.40;1.00
3660;DHT22;1846;51.482;7.224;2022-06-27T00:54:49;18.30;1.00
3660;DHT22;1846;51.482;7.224;2022-06-27T00:57:34;18.30;1.00
3660;DHT22;1846;51.482;7.224;2022-06-27T01:00:21;18.20;1.00
3660;DHT22;1846;51.482;7.224;2022-06-27T01:03:06;18.20;1.00
3660;DHT22;1846;51.482;7.224;2022-06-27T01:05:52;18.20;1.00
3660;DHT22;1846;51.482;7.224;2022-06-27T01:08:38;18.20;1.00
3660;DHT22;1846;51.482;7.224;2022-06-27T01:11:24;18.30;1.00
3660;DHT22;1846;51.482;7.224;2022-06-27T01:14:10;18.40;1.00
3660;DHT22;1846;51.482;7.224;2022-06-27T01:16:57;18.50;1.00
3660;DHT22;1846;51.482;7.224;2022-06-27T01:19:42;18.40;1.00
3660;DHT22;1846;51.482;7.224;2022-06-27T01:22:30;18.40;1.00
3660;DHT22;1846;51.482;7.224;2022-06-27T01:25:16;18.40;1.00
3660;DHT22;1846;51.482;7.224;2022-06-27T01:28:03;18.40;1.00
3660;DHT22;1846;51.482;7.224;2022-06-27T01:30:50;18.30;1.00
3660;DHT22;1846;51.482;7.224;2022-06-27T01:33:35;18.30;1.00
3660;DHT22;1846;51.482;7.224;2022-06-27T01:36:21;18.20;1.00
3660;DHT22;1846;51.482;7.224;2022-06-27T01:39:26;18.20;1.00
