sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
3659;SDS011;1846;51.482;7.224;2022-06-14T00:00:15;5.37;;;4.10;;
3659;SDS011;1846;51.482;7.224;2022-06-14T00:03:20;4.30;;;2.67;;
3659;SDS011;1846;51.482;7.224;2022-06-14T00:06:08;9.13;;;2.70;;
3659;SDS011;1846;51.482;7.224;2022-06-14T00:08:55;4.30;;;2.27;;
3659;SDS011;1846;51.482;7.224;2022-06-14T00:11:42;7.00;;;2.40;;
3659;SDS011;1846;51.482;7.224;2022-06-14T00:14:30;5.10;;;2.10;;
3659;SDS011;1846;51.482;7.224;2022-06-14T00:17:16;2.27;;;2.10;;
3659;SDS011;1846;51.482;7.224;2022-06-14T00:20:03;2.60;;;1.87;;
3659;SDS011;1846;51.482;7.224;2022-06-14T00:22:50;4.30;;;3.20;;
3659;SDS011;1846;51.482;7.224;2022-06-14T00:25:36;6.80;;;2.87;;
3659;SDS011;1846;51.482;7.224;2022-06-14T00:28:25;6.50;;;3.80;;
3659;SDS011;1846;51.482;7.224;2022-06-14T00:31:14;6.00;;;2.80;;
3659;SDS011;1846;51.482;7.224;2022-06-14T00:34:01;5.97;;;3.40;;
3659;SDS011;1846;51.482;7.224;2022-06-14T00:36:52;4.10;;;2.30;;
3659;SDS011;1846;51.482;7.224;2022-06-14T00:39:43;4.30;;;2.47;;
3659;SDS011;1846;51.482;7.224;2022-06-14T00:42:28;3.93;;;2.80;;
3659;SDS011;1846;51.482;7.224;2022-06-14T00:48:37;3.13;;;2.40;;
3659;SDS011;1846;51.482;7.224;2022-06-14T00:51:25;12.63;;;2.77;;
3659;SDS011;1846;51.482;7.224;2022-06-14T00:54:17;3.73;;;2.20;;
3659;SDS011;1846;51.482;7.224;2022-06-14T00:57:07;3.17;;;2.20;;
3659;SDS011;1846;51.482;7.224;2022-06-14T00:59:56;4.20;;;2.43;;
3659;SDS011;1846;51.482;7.224;2022-06-14T01:02:48;2.37;;;2.17;;
3659;SDS011;1846;51.482;7.224;2022-06-14T01:05:39;3.00;;;1.90;;
3659;SDS011;1846;51.482;7.224;2022-06-14T01:08:49;3.30;;;2.40;;
3659;SDS011;1846;51.482;7.224;2022-06-14T01:11:41;10.30;;;2.93;;
3659;SDS011;1846;51.482;7.224;2022-06-14T01:14:32;1.80;;;1.70;;
3659;SDS011;1846;51.482;7.224;2022-06-14T01:17:23;2.50;;;2.27;;
3659;SDS011;1846;51.482;7.224;2022-06-14T01:20:11;12.40;;;3.60;;
3659;SDS011;1846;51.482;7.224;2022-06-14T01:23:00;3.47;;;2.10;;
3659;SDS011;1846;51.482;7.224;2022-06-14T01:25:47;6.30;;;2.70;;
3659;SDS011;1846;51.482;7.224;2022-06-14T01:28:36;3.07;;;2.27;;
