sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
3659;SDS011;1846;51.482;7.224;2022-06-04T00:00:18;3.83;;;3.33;;
3659;SDS011;1846;51.482;7.224;2022-06-04T00:02:48;4.17;;;3.27;;
3659;SDS011;1846;51.482;7.224;2022-06-04T00:05:16;3.70;;;3.50;;
3659;SDS011;1846;51.482;7.224;2022-06-04T00:07:45;3.37;;;3.07;;
3659;SDS011;1846;51.482;7.224;2022-06-04T00:10:14;3.80;;;3.17;;
3659;SDS011;1846;51.482;7.224;2022-06-04T00:13:01;3.40;;;3.20;;
3659;SDS011;1846;51.482;7.224;2022-06-04T00:15:47;4.00;;;3.60;;
3659;SDS011;1846;51.482;7.224;2022-06-04T00:18:15;7.60;;;3.70;;
3659;SDS011;1846;51.482;7.224;2022-06-04T00:20:43;3.23;;;2.97;;
3659;SDS011;1846;51.482;7.224;2022-06-04T00:23:11;3.40;;;3.20;;
3659;SDS011;1846;51.482;7.224;2022-06-04T00:25:40;4.50;;;3.27;;
3659;SDS011;1846;51.482;7.224;2022-06-04T00:28:10;5.73;;;3.37;;
3659;SDS011;1846;51.482;7.224;2022-06-04T00:30:37;5.00;;;3.57;;
3659;SDS011;1846;51.482;7.224;2022-06-04T00:33:05;4.90;;;3.50;;
3659;SDS011;1846;51.482;7.224;2022-06-04T00:35:32;6.17;;;4.10;;
3659;SDS011;1846;51.482;7.224;2022-06-04T00:38:00;4.50;;;3.50;;
3659;SDS011;1846;51.482;7.224;2022-06-04T00:40:30;3.10;;;2.90;;
3659;SDS011;1846;51.482;7.224;2022-06-04T00:43:02;4.20;;;3.40;;
3659;SDS011;1846;51.482;7.224;2022-06-04T00:48:42;3.10;;;2.97;;
3659;SDS011;1846;51.482;7.224;2022-06-04T00:51:09;4.33;;;4.03;;
3659;SDS011;1846;51.482;7.224;2022-06-04T00:53:36;9.20;;;3.53;;
3659;SDS011;1846;51.482;7.224;2022-06-04T00:56:07;5.53;;;3.80;;
3659;SDS011;1846;51.482;7.224;2022-06-04T00:58:45;5.87;;;3.50;;
3659;SDS011;1846;51.482;7.224;2022-06-04T01:01:24;10.10;;;8.33;;
3659;SDS011;1846;51.482;7.224;2022-06-04T01:04:01;6.20;;;4.00;;
3659;SDS011;1846;51.482;7.224;2022-06-04T01:06:39;4.07;;;3.87;;
3659;SDS011;1846;51.482;7.224;2022-06-04T01:09:17;4.40;;;3.53;;
3659;SDS011;1846;51.482;7.224;2022-06-04T01:11:58;3.47;;;3.37;;
3659;SDS011;1846;51.482;7.224;2022-06-04T01:14:43;4.80;;;4.40;;
3659;SDS011;1846;51.482;7.224;2022-06-04T01:17:21;4.40;;;4.00;;
3659;SDS011;1846;51.482;7.224;2022-06-04T01:19:56;4.53;;;3.40;;
3659;SDS011;1846;51.482;7.224;2022-06-04T01:22:35;4.23;;;4.03;;
3659;SDS011;1846;51.482;7.224;2022-06-04T01:25:13;4.50;;;4.10;;
3659;SDS011;1846;51.482;7.224;2022-06-04T01:27:56;4.13;;;3.60;;
3659;SDS011;1846;51.482;7.224;2022-06-04T01:30:29;7.30;;;4.23;;
3659;SDS011;1846;51.482;7.224;2022-06-04T01:33:03;6.10;;;5.60;;
3659;SDS011;1846;51.482;7.224;2022-06-04T01:38:21;3.83;;;3.57;;
3659;SDS011;1846;51.482;7.224;2022-06-04T01:40:53;5.80;;;4.43;;
3659;SDS011;1846;51.482;7.224;2022-06-04T01:43:31;5.07;;;4.40;;
3659;SDS011;1846;51.482;7.224;2022-06-04T01:46:02;6.80;;;4.20;;
3659;SDS011;1846;51.482;7.224;2022-06-04T01:48:34;4.80;;;4.50;;
3659;SDS011;1846;51.482;7.224;2022-06-04T01:51:05;4.73;;;4.27;;
3659;SDS011;1846;51.482;7.224;2022-06-04T01:53:34;5.10;;;4.57;;
3659;SDS011;1846;51.482;7.224;2022-06-04T01:56:05;5.03;;;4.53;;
3659;SDS011;1846;51.482;7.224;2022-06-04T01:58:38;5.20;;;4.63;;
3659;SDS011;1846;51.482;7.224;2022-06-04T02:01:08;3.93;;;3.70;;
3659;SDS011;1846;51.482;7.224;2022-06-04T02:03:38;5.50;;;4.00;;
3659;SDS011;1846;51.482;7.224;2022-06-04T02:06:09;5.43;;;4.13;;
3659;SDS011;1846;51.482;7.224;2022-06-04T02:08:40;5.00;;;4.67;;
3659;SDS011;1846;51.482;7.224;2022-06-04T02:11:12;4.63;;;4.33;;
3659;SDS011;1846;51.482;7.224;2022-06-04T02:13:42;5.93;;;4.47;;
3659;SDS011;1846;51.482;7.224;2022-06-04T02:16:13;5.17;;;4.80;;
3659;SDS011;1846;51.482;7.224;2022-06-04T02:18:46;7.00;;;4.43;;
3659;SDS011;1846;51.482;7.224;2022-06-04T02:21:14;4.20;;;3.93;;
3659;SDS011;1846;51.482;7.224;2022-06-04T02:23:43;5.07;;;4.67;;
3659;SDS011;1846;51.482;7.224;2022-06-04T02:26:10;7.50;;;5.07;;
3659;SDS011;1846;51.482;7.224;2022-06-04T02:28:38;4.83;;;4.60;;
3659;SDS011;1846;51.482;7.224;2022-06-04T02:31:08;5.00;;;4.60;;
3659;SDS011;1846;51.482;7.224;2022-06-04T02:33:41;5.77;;;5.37;;
3659;SDS011;1846;51.482;7.224;2022-06-04T02:36:20;5.10;;;4.50;;
3659;SDS011;1846;51.482;7.224;2022-06-04T02:38:55;4.90;;;4.50;;
3659;SDS011;1846;51.482;7.224;2022-06-04T02:41:31;7.57;;;5.73;;
3659;SDS011;1846;51.482;7.224;2022-06-04T02:44:02;5.30;;;4.90;;
3659;SDS011;1846;51.482;7.224;2022-06-04T02:46:36;6.40;;;5.10;;
3659;SDS011;1846;51.482;7.224;2022-06-04T02:49:07;6.63;;;4.53;;
3659;SDS011;1846;51.482;7.224;2022-06-04T02:51:40;4.60;;;4.20;;
3659;SDS011;1846;51.482;7.224;2022-06-04T02:54:10;4.57;;;4.17;;
3659;SDS011;1846;51.482;7.224;2022-06-04T02:56:43;5.80;;;5.40;;
3659;SDS011;1846;51.482;7.224;2022-06-04T02:59:12;4.70;;;4.50;;
3659;SDS011;1846;51.482;7.224;2022-06-04T03:01:43;5.90;;;5.40;;
3659;SDS011;1846;51.482;7.224;2022-06-04T03:04:12;5.03;;;4.47;;
3659;SDS011;1846;51.482;7.224;2022-06-04T03:06:39;5.00;;;4.70;;
3659;SDS011;1846;51.482;7.224;2022-06-04T03:09:07;5.47;;;5.00;;
3659;SDS011;1846;51.482;7.224;2022-06-04T03:11:38;8.87;;;5.90;;
3659;SDS011;1846;51.482;7.224;2022-06-04T03:14:08;4.37;;;4.17;;
3659;SDS011;1846;51.482;7.224;2022-06-04T03:16:36;5.30;;;4.80;;
3659;SDS011;1846;51.482;7.224;2022-06-04T03:19:05;5.37;;;4.67;;
3659;SDS011;1846;51.482;7.224;2022-06-04T03:21:33;6.40;;;5.90;;
3659;SDS011;1846;51.482;7.224;2022-06-04T03:24:00;6.00;;;5.07;;
3659;SDS011;1846;51.482;7.224;2022-06-04T03:26:27;5.97;;;5.30;;
