sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
3659;SDS011;1846;51.482;7.224;2022-05-17T00:01:13;30.57;;;26.13;;
3659;SDS011;1846;51.482;7.224;2022-05-17T00:03:58;40.27;;;28.07;;
3659;SDS011;1846;51.482;7.224;2022-05-17T00:06:44;40.13;;;30.20;;
3659;SDS011;1846;51.482;7.224;2022-05-17T00:09:29;33.90;;;27.67;;
3659;SDS011;1846;51.482;7.224;2022-05-17T00:12:15;40.73;;;30.53;;
3659;SDS011;1846;51.482;7.224;2022-05-17T00:15:02;43.87;;;29.37;;
3659;SDS011;1846;51.482;7.224;2022-05-17T00:17:48;36.20;;;29.13;;
3659;SDS011;1846;51.482;7.224;2022-05-17T00:20:37;37.60;;;29.13;;
3659;SDS011;1846;51.482;7.224;2022-05-17T00:23:24;43.23;;;31.07;;
3659;SDS011;1846;51.482;7.224;2022-05-17T00:26:11;45.23;;;28.47;;
3659;SDS011;1846;51.482;7.224;2022-05-17T00:28:56;36.97;;;26.53;;
3659;SDS011;1846;51.482;7.224;2022-05-17T00:31:43;38.17;;;28.47;;
3659;SDS011;1846;51.482;7.224;2022-05-17T00:34:29;41.13;;;30.37;;
3659;SDS011;1846;51.482;7.224;2022-05-17T00:37:15;36.97;;;28.20;;
3659;SDS011;1846;51.482;7.224;2022-05-17T00:40:01;39.20;;;29.33;;
3659;SDS011;1846;51.482;7.224;2022-05-17T00:42:47;38.30;;;28.50;;
3659;SDS011;1846;51.482;7.224;2022-05-17T00:45:33;32.47;;;25.97;;
3659;SDS011;1846;51.482;7.224;2022-05-17T00:48:21;37.10;;;28.37;;
3659;SDS011;1846;51.482;7.224;2022-05-17T00:51:06;34.47;;;27.37;;
3659;SDS011;1846;51.482;7.224;2022-05-17T00:53:53;43.27;;;26.87;;
3659;SDS011;1846;51.482;7.224;2022-05-17T00:56:46;35.70;;;28.13;;
3659;SDS011;1846;51.482;7.224;2022-05-17T00:59:36;31.70;;;26.97;;
3659;SDS011;1846;51.482;7.224;2022-05-17T01:02:22;35.63;;;26.57;;
3659;SDS011;1846;51.482;7.224;2022-05-17T01:05:12;32.03;;;23.97;;
3659;SDS011;1846;51.482;7.224;2022-05-17T01:07:58;31.70;;;24.93;;
3659;SDS011;1846;51.482;7.224;2022-05-17T01:10:45;31.17;;;25.47;;
3659;SDS011;1846;51.482;7.224;2022-05-17T01:13:30;27.50;;;23.93;;
3659;SDS011;1846;51.482;7.224;2022-05-17T01:16:34;31.70;;;25.73;;
3659;SDS011;1846;51.482;7.224;2022-05-17T01:19:19;33.00;;;24.30;;
3659;SDS011;1846;51.482;7.224;2022-05-17T01:22:06;31.00;;;24.13;;
3659;SDS011;1846;51.482;7.224;2022-05-17T01:24:52;28.60;;;22.13;;
3659;SDS011;1846;51.482;7.224;2022-05-17T01:27:39;33.10;;;25.40;;
3659;SDS011;1846;51.482;7.224;2022-05-17T01:30:27;30.80;;;24.17;;
3659;SDS011;1846;51.482;7.224;2022-05-17T01:33:15;34.47;;;26.03;;
3659;SDS011;1846;51.482;7.224;2022-05-17T01:36:02;36.10;;;23.67;;
3659;SDS011;1846;51.482;7.224;2022-05-17T01:38:51;32.07;;;23.27;;
3659;SDS011;1846;51.482;7.224;2022-05-17T01:41:36;32.80;;;22.90;;
3659;SDS011;1846;51.482;7.224;2022-05-17T01:44:22;34.70;;;24.40;;
3659;SDS011;1846;51.482;7.224;2022-05-17T01:47:08;32.30;;;22.87;;
3659;SDS011;1846;51.482;7.224;2022-05-17T01:49:53;27.13;;;21.70;;
3659;SDS011;1846;51.482;7.224;2022-05-17T01:52:39;22.40;;;19.53;;
3659;SDS011;1846;51.482;7.224;2022-05-17T01:55:26;23.73;;;21.17;;
3659;SDS011;1846;51.482;7.224;2022-05-17T01:58:11;26.43;;;21.00;;
3659;SDS011;1846;51.482;7.224;2022-05-17T02:00:57;27.10;;;21.80;;
3659;SDS011;1846;51.482;7.224;2022-05-17T02:03:43;31.20;;;22.50;;
3659;SDS011;1846;51.482;7.224;2022-05-17T02:06:28;24.30;;;20.63;;
3659;SDS011;1846;51.482;7.224;2022-05-17T02:09:14;21.67;;;19.37;;
3659;SDS011;1846;51.482;7.224;2022-05-17T02:12:01;31.63;;;21.40;;
3659;SDS011;1846;51.482;7.224;2022-05-17T02:14:48;23.60;;;20.13;;
3659;SDS011;1846;51.482;7.224;2022-05-17T02:17:33;20.17;;;18.03;;
3659;SDS011;1846;51.482;7.224;2022-05-17T02:20:21;20.10;;;18.10;;
3659;SDS011;1846;51.482;7.224;2022-05-17T02:23:07;20.37;;;18.17;;
3659;SDS011;1846;51.482;7.224;2022-05-17T02:25:52;19.60;;;17.17;;
3659;SDS011;1846;51.482;7.224;2022-05-17T02:28:39;18.33;;;16.50;;
3659;SDS011;1846;51.482;7.224;2022-05-17T02:31:27;17.13;;;15.40;;
3659;SDS011;1846;51.482;7.224;2022-05-17T02:34:14;18.87;;;16.00;;
